# %ECSV 1.0
# ---
# datatype:
# - {name: r_pix, datatype: int64}
# - {name: x, unit: lambda/D, datatype: float64}
# - {name: y, unit: normI, datatype: float64}
# meta: !!omap
# - {reference: Ruane et al 2022}
# - {url: 'https://doi.org/10.1117/12.2628972'}
# - {pupil: clear}
# - {color: green}
# - {ls: '-'}
# - {courtesy: Garreth Ruane}
# - {bp_pct: 10}
# - {coronagraph: VVC4}
# - {wl: 650}
# - {DM: 1 BMC}
# - {testbed: HCIT}
# schema: astropy-2.0
r_pix x y
0 0.0 nan
1 0.0894000767215204 nan
2 0.178800153443041 nan
3 0.268200230164561 nan
4 0.357600306886082 nan
5 0.447000383607602 nan
6 0.536400460329122 nan
7 0.625800537050643 nan
8 0.715200613772163 nan
9 0.804600690493683 nan
10 0.894000767215204 nan
11 0.983400843936724 nan
12 1.07280092065824 nan
13 1.16220099737976 nan
14 1.25160107410129 nan
15 1.34100115082281 nan
16 1.43040122754433 nan
17 1.51980130426585 nan
18 1.60920138098737 nan
19 1.69860145770889 nan
20 1.78800153443041 nan
21 1.87740161115193 nan
22 1.96680168787345 nan
23 2.05620176459497 nan
24 2.14560184131649 nan
25 2.23500191803801 nan
26 2.32440199475953 nan
27 2.41380207148105 nan
28 2.50320214820257 nan
29 2.59260222492409 nan
30 2.68200230164561 nan
31 2.77140237836713 nan
32 2.86080245508865 nan
33 2.95020253181017 1.13507265808721e-08
34 3.03960260853169 1.12287354171066e-08
35 3.12900268525321 1.21208971380475e-08
36 3.21840276197473 1.09664662327656e-08
37 3.30780283869625 1.00082823650257e-08
38 3.39720291541777 9.2602853133229e-09
39 3.4866029921393 8.46997347790121e-09
40 3.57600306886082 7.78803407128424e-09
41 3.66540314558234 7.16472461808623e-09
42 3.75480322230386 6.82678604413268e-09
43 3.84420329902538 6.7409232227882e-09
44 3.9336033757469 6.30124118360514e-09
45 4.02300345246842 6.13545337355972e-09
46 4.11240352918994 6.39026399810099e-09
47 4.20180360591146 6.01249807320265e-09
48 4.29120368263298 5.45778383819069e-09
49 4.3806037593545 5.22618677951043e-09
50 4.47000383607602 4.72276923171497e-09
51 4.55940391279754 4.53984278717195e-09
52 4.64880398951906 4.13436024117179e-09
53 4.73820406624058 3.98048942367477e-09
54 4.8276041429621 3.79453956065291e-09
55 4.91700421968362 3.69589909399102e-09
56 5.00640429640514 3.73174802564014e-09
57 5.09580437312666 3.75963090092246e-09
58 5.18520444984818 3.57719656978573e-09
59 5.2746045265697 3.68533426822766e-09
60 5.36400460329122 4.04179878130227e-09
61 5.45340468001274 3.59800481622584e-09
62 5.54280475673426 3.30357558556004e-09
63 5.63220483345578 3.24438597326133e-09
64 5.7216049101773 2.74699685669281e-09
65 5.81100498689882 2.80721357147148e-09
66 5.90040506362035 2.80122923850819e-09
67 5.98980514034187 2.97830340060189e-09
68 6.07920521706339 2.9993289610853e-09
69 6.16860529378491 2.87583813200297e-09
70 6.25800537050643 2.7956273303639e-09
71 6.34740544722795 2.96069514642201e-09
72 6.43680552394947 3.112604610334e-09
73 6.52620560067099 2.81182795933945e-09
74 6.61560567739251 2.84476491430597e-09
75 6.70500575411403 2.51053122781448e-09
76 6.79440583083555 2.73297124918871e-09
77 6.88380590755707 2.69817503548282e-09
78 6.97320598427859 2.52831595192459e-09
79 7.06260606100011 2.61470717586651e-09
80 7.15200613772163 2.43432277158064e-09
81 7.24140621444315 2.52619714190792e-09
82 7.33080629116467 2.46405995038213e-09
83 7.42020636788619 2.05275231056943e-09
84 7.50960644460771 2.22594628428123e-09
85 7.59900652132923 2.41212136209954e-09
86 7.68840659805075 2.26758365302373e-09
87 7.77780667477227 2.01488544214357e-09
88 7.86720675149379 2.24961407944486e-09
89 7.95660682821531 2.04447800233062e-09
90 8.04600690493684 2.26262500190301e-09
91 8.13540698165835 2.43049956527376e-09
92 8.22480705837988 2.79563040557709e-09
93 8.3142071351014 2.77298414124072e-09
94 8.40360721182292 2.71755882200871e-09
95 8.49300728854444 2.94020428969885e-09
96 8.58240736526596 3.27440700034835e-09
97 8.67180744198748 3.15187774893339e-09
98 8.761207518709 3.43047890831907e-09
99 8.85060759543052 3.22569193545268e-09
100 8.94000767215204 2.96309418790633e-09
101 9.02940774887356 2.5334184697353e-09
102 9.11880782559508 2.22040307491671e-09
103 9.2082079023166 1.78793724859565e-09
104 9.29760797903812 1.4472201808069e-09
105 9.38700805575964 1.22394547771447e-09
106 9.47640813248116 9.31993169570376e-10
107 9.56580820920268 1.31215588694786e-09
108 9.6552082859242 8.07510442902073e-10
109 9.74460836264572 1.71345572540809e-09
110 9.83400843936724 2.35091377698244e-09
111 9.92340851608876 nan
112 10.0128085928103 nan
113 10.1022086695318 nan
114 10.1916087462533 nan
115 10.2810088229748 nan
116 10.3704088996964 nan
117 10.4598089764179 nan
118 10.5492090531394 nan
119 10.6386091298609 nan
120 10.7280092065824 nan
121 10.817409283304 nan
122 10.9068093600255 nan
123 10.996209436747 nan
124 11.0856095134685 nan
125 11.17500959019 nan
126 11.2644096669116 nan
127 11.3538097436331 nan
128 11.4432098203546 nan
129 11.5326098970761 nan
130 11.6220099737976 nan
131 11.7114100505192 nan
132 11.8008101272407 nan
133 11.8902102039622 nan
134 11.9796102806837 nan
135 12.0690103574053 nan
136 12.1584104341268 nan
137 12.2478105108483 nan
138 12.3372105875698 nan
139 12.4266106642913 nan
140 12.5160107410129 nan
141 12.6054108177344 nan
142 12.6948108944559 nan
143 12.7842109711774 nan
144 12.8736110478989 nan
145 12.9630111246205 nan
146 13.052411201342 nan
147 13.1418112780635 nan
148 13.231211354785 nan
149 13.3206114315065 nan
150 13.4100115082281 nan
151 13.4994115849496 nan
152 13.5888116616711 nan
153 13.6782117383926 nan
154 13.7676118151141 nan
155 13.8570118918357 nan
156 13.9464119685572 nan
157 14.0358120452787 nan
158 14.1252121220002 nan
159 14.2146121987217 nan
160 14.3040122754433 nan
161 14.3934123521648 nan
162 14.4828124288863 nan
163 14.5722125056078 nan
164 14.6616125823293 nan
165 14.7510126590509 nan
166 14.8404127357724 nan
167 14.9298128124939 nan
168 15.0192128892154 nan
169 15.1086129659369 nan
170 15.1980130426585 nan
171 15.28741311938 nan
172 15.3768131961015 nan
173 15.466213272823 nan
174 15.5556133495445 nan
175 15.6450134262661 nan
176 15.7344135029876 nan
177 15.8238135797091 nan
178 15.9132136564306 nan
179 16.0026137331521 nan
180 16.0920138098737 nan
181 16.1814138865952 nan
182 16.2708139633167 nan
183 16.3602140400382 nan
184 16.4496141167598 nan
185 16.5390141934813 nan
186 16.6284142702028 nan
187 16.7178143469243 nan
188 16.8072144236458 nan
189 16.8966145003674 nan
190 16.9860145770889 nan
191 17.0754146538104 nan
192 17.1648147305319 nan
193 17.2542148072534 nan
194 17.343614883975 nan
195 17.4330149606965 nan
196 17.522415037418 nan
197 17.6118151141395 nan
198 17.701215190861 nan
199 17.7906152675826 nan
200 17.8800153443041 nan
201 17.9694154210256 nan
202 18.0588154977471 nan
203 18.1482155744686 nan
204 18.2376156511902 nan
205 18.3270157279117 nan
206 18.4164158046332 nan
207 18.5058158813547 nan
208 18.5952159580762 nan
209 18.6846160347978 nan
210 18.7740161115193 nan
211 18.8634161882408 nan
212 18.9528162649623 nan
213 19.0422163416838 nan
214 19.1316164184054 nan
215 19.2210164951269 nan
216 19.3104165718484 nan
217 19.3998166485699 nan
218 19.4892167252914 nan
219 19.578616802013 nan
220 19.6680168787345 nan
221 19.757416955456 nan
222 19.8468170321775 nan
223 19.936217108899 nan
224 20.0256171856206 nan
225 20.1150172623421 nan
226 20.2044173390636 nan
227 20.2938174157851 nan
228 20.3832174925066 nan
229 20.4726175692282 nan
230 20.5620176459497 nan
231 20.6514177226712 nan
232 20.7408177993927 nan
233 20.8302178761143 nan
234 20.9196179528358 nan
235 21.0090180295573 nan
236 21.0984181062788 nan
237 21.1878181830003 nan
238 21.2772182597219 nan
239 21.3666183364434 nan
240 21.4560184131649 nan
241 21.5454184898864 nan
242 21.6348185666079 nan
243 21.7242186433295 nan
244 21.813618720051 nan
245 21.9030187967725 nan
246 21.992418873494 nan
247 22.0818189502155 nan
248 22.1712190269371 nan
249 22.2606191036586 nan
250 22.3500191803801 nan
