# %ECSV 1.0
# ---
# datatype:
# - {name: r_pix, datatype: int64}
# - {name: x, unit: lambda/D, datatype: float64}
# - {name: y, unit: normI, datatype: float64}
# meta: !!omap
# - {reference: Riggs et al. 2022}
# - {url: 'https://doi.org/10.1117/12.2630130'}
# - {pupil: segmented}
# - {color: black}
# - {ls: --}
# - {courtesy: Garreth Ruane}
# - {bp_pct: 10}
# - {coronagraph: VVC4}
# - {wl: 650}
# - {DM: 1 BMC}
# - {testbed: HCIT}
# schema: astropy-2.0
r_pix x y
0 0.0 nan
1 0.0912403461492841 nan
2 0.182480692298568 nan
3 0.273721038447852 nan
4 0.364961384597137 nan
5 0.456201730746421 nan
6 0.547442076895705 nan
7 0.638682423044989 nan
8 0.729922769194273 nan
9 0.821163115343557 nan
10 0.912403461492841 nan
11 1.00364380764213 nan
12 1.09488415379141 nan
13 1.18612449994069 nan
14 1.27736484608998 nan
15 1.36860519223926 nan
16 1.45984553838855 nan
17 1.55108588453783 nan
18 1.64232623068711 nan
19 1.7335665768364 nan
20 1.82480692298568 nan
21 1.91604726913497 nan
22 2.00728761528425 nan
23 2.09852796143354 nan
24 2.18976830758282 nan
25 2.2810086537321 nan
26 2.37224899988139 nan
27 2.46348934603067 nan
28 2.55472969217996 nan
29 2.64597003832924 nan
30 2.73721038447852 nan
31 2.82845073062781 nan
32 2.91969107677709 1.09008500004393e-08
33 3.01093142292638 1.15992736860868e-08
34 3.10217176907566 1.36147085174938e-08
35 3.19341211522495 1.38202065017167e-08
36 3.28465246137423 1.32233428051946e-08
37 3.37589280752351 1.22889437070087e-08
38 3.4671331536728 1.11601817865104e-08
39 3.55837349982208 1.02344179225285e-08
40 3.64961384597137 9.44315299503855e-09
41 3.74085419212065 8.77630322251923e-09
42 3.83209453826993 8.54789381938913e-09
43 3.92333488441922 8.9585575576412e-09
44 4.0145752305685 8.77236579779911e-09
45 4.10581557671779 8.78230945820275e-09
46 4.19705592286707 8.52914268664779e-09
47 4.28829626901635 8.42468905618298e-09
48 4.37953661516564 8.54055074796143e-09
49 4.47077696131492 7.98225565042789e-09
50 4.56201730746421 7.83151668349481e-09
51 4.65325765361349 7.54024407712162e-09
52 4.74449799976278 7.75290350061754e-09
53 4.83573834591206 7.19513225362921e-09
54 4.92697869206134 7.16309551991979e-09
55 5.01821903821063 7.51143286953704e-09
56 5.10945938435991 7.4303185600952e-09
57 5.2006997305092 7.60417593326211e-09
58 5.29194007665848 6.97178943335151e-09
59 5.38318042280776 6.98070010730674e-09
60 5.47442076895705 7.03222777702223e-09
61 5.56566111510633 6.50464781270575e-09
62 5.65690146125562 6.32408979128389e-09
63 5.7481418074049 6.3054051183644e-09
64 5.83938215355418 5.98548616995215e-09
65 5.93062249970347 5.51397691735149e-09
66 6.02186284585275 5.17678101753874e-09
67 6.11310319200204 5.16182331800002e-09
68 6.20434353815132 5.04601949011327e-09
69 6.29558388430061 4.73383117220355e-09
70 6.38682423044989 4.22911438539398e-09
71 6.47806457659917 3.8580351335312e-09
72 6.56930492274846 3.86246225227249e-09
73 6.66054526889774 3.7930275926152e-09
74 6.75178561504703 3.60232100718477e-09
75 6.84302596119631 3.14407260245637e-09
76 6.9342663073456 3.32089286994937e-09
77 7.02550665349488 2.83072668717101e-09
78 7.11674699964416 2.96152868237653e-09
79 7.20798734579345 2.91866538023682e-09
80 7.29922769194273 2.8438558186666e-09
81 7.39046803809202 2.69348703651212e-09
82 7.4817083842413 3.26642396983515e-09
83 7.57294873039058 3.22544112910023e-09
84 7.66418907653987 3.1035971756452e-09
85 7.75542942268915 3.55548410849278e-09
86 7.84666976883844 3.53380347077742e-09
87 7.93791011498772 3.60859803580327e-09
88 8.02915046113701 3.38482258778133e-09
89 8.12039080728629 3.14059938795957e-09
90 8.21163115343557 3.15094643203063e-09
91 8.30287149958486 3.35866250914238e-09
92 8.39411184573414 2.94390175917868e-09
93 8.48535219188343 3.02525440769877e-09
94 8.57659253803271 3.34753663207748e-09
95 8.66783288418199 3.70913151153103e-09
96 8.75907323033128 3.98085888528588e-09
97 8.85031357648056 3.89273257977305e-09
98 8.94155392262985 4.00899798133107e-09
99 9.03279426877913 3.93369886085031e-09
100 9.12403461492841 3.48757181379711e-09
101 9.2152749610777 3.49576942077777e-09
102 9.30651530722698 3.20943885772714e-09
103 9.39775565337627 3.04243497421584e-09
104 9.48899599952555 2.5529014053914e-09
105 9.58023634567484 2.36750958473352e-09
106 9.67147669182412 2.06270491919193e-09
107 9.7627170379734 2.14641000582449e-09
108 9.85395738412269 1.60649818428869e-09
109 9.94519773027197 1.44234257307047e-09
110 10.0364380764213 1.49541673367665e-09
111 10.1276784225705 1.29537489206035e-09
112 10.2189187687198 1.39692784329134e-09
113 10.3101591148691 1.24398072397184e-09
114 10.4013994610184 7.53480540353817e-10
115 10.4926398071677 5.41390368462593e-10
116 10.583880153317 5.02386986537984e-10
118 10.7663608456155 nan
119 10.8576011917648 nan
120 10.9488415379141 nan
121 11.0400818840634 nan
122 11.1313222302127 nan
123 11.222562576362 nan
124 11.3138029225112 nan
125 11.4050432686605 nan
126 11.4962836148098 nan
127 11.5875239609591 nan
128 11.6787643071084 nan
129 11.7700046532577 nan
130 11.8612449994069 nan
131 11.9524853455562 nan
132 12.0437256917055 nan
133 12.1349660378548 nan
134 12.2262063840041 nan
135 12.3174467301534 nan
136 12.4086870763026 nan
137 12.4999274224519 nan
138 12.5911677686012 nan
139 12.6824081147505 nan
140 12.7736484608998 nan
141 12.8648888070491 nan
142 12.9561291531983 nan
143 13.0473694993476 nan
144 13.1386098454969 nan
145 13.2298501916462 nan
146 13.3210905377955 nan
147 13.4123308839448 nan
148 13.5035712300941 nan
149 13.5948115762433 nan
150 13.6860519223926 nan
151 13.7772922685419 nan
152 13.8685326146912 nan
153 13.9597729608405 nan
154 14.0510133069898 nan
155 14.142253653139 nan
156 14.2334939992883 nan
157 14.3247343454376 nan
158 14.4159746915869 nan
159 14.5072150377362 nan
160 14.5984553838855 nan
161 14.6896957300347 nan
162 14.780936076184 nan
163 14.8721764223333 nan
164 14.9634167684826 nan
165 15.0546571146319 nan
166 15.1458974607812 nan
167 15.2371378069305 nan
168 15.3283781530797 nan
169 15.419618499229 nan
170 15.5108588453783 nan
171 15.6020991915276 nan
172 15.6933395376769 nan
173 15.7845798838262 nan
174 15.8758202299754 nan
175 15.9670605761247 nan
176 16.058300922274 nan
177 16.1495412684233 nan
178 16.2407816145726 nan
179 16.3320219607219 nan
180 16.4232623068711 nan
181 16.5145026530204 nan
182 16.6057429991697 nan
183 16.696983345319 nan
184 16.7882236914683 nan
185 16.8794640376176 nan
186 16.9707043837669 nan
187 17.0619447299161 nan
188 17.1531850760654 nan
189 17.2444254222147 nan
190 17.335665768364 nan
191 17.4269061145133 nan
192 17.5181464606626 nan
193 17.6093868068118 nan
194 17.7006271529611 nan
195 17.7918674991104 nan
196 17.8831078452597 nan
197 17.974348191409 nan
198 18.0655885375583 nan
199 18.1568288837075 nan
200 18.2480692298568 nan
201 18.3393095760061 nan
202 18.4305499221554 nan
203 18.5217902683047 nan
204 18.613030614454 nan
205 18.7042709606032 nan
206 18.7955113067525 nan
207 18.8867516529018 nan
208 18.9779919990511 nan
209 19.0692323452004 nan
210 19.1604726913497 nan
211 19.251713037499 nan
212 19.3429533836482 nan
213 19.4341937297975 nan
214 19.5254340759468 nan
215 19.6166744220961 nan
216 19.7079147682454 nan
217 19.7991551143947 nan
218 19.8903954605439 nan
219 19.9816358066932 nan
220 20.0728761528425 nan
221 20.1641164989918 nan
222 20.2553568451411 nan
223 20.3465971912904 nan
224 20.4378375374396 nan
225 20.5290778835889 nan
226 20.6203182297382 nan
227 20.7115585758875 nan
228 20.8027989220368 nan
229 20.8940392681861 nan
230 20.9852796143354 nan
231 21.0765199604846 nan
232 21.1677603066339 nan
233 21.2590006527832 nan
234 21.3502409989325 nan
235 21.4414813450818 nan
236 21.5327216912311 nan
237 21.6239620373803 nan
238 21.7152023835296 nan
239 21.8064427296789 nan
240 21.8976830758282 nan
241 21.9889234219775 nan
242 22.0801637681268 nan
243 22.171404114276 nan
244 22.2626444604253 nan
245 22.3538848065746 nan
246 22.4451251527239 nan
247 22.5363654988732 nan
248 22.6276058450225 nan
249 22.7188461911718 nan
250 22.810086537321 nan
