# %ECSV 1.0
# ---
# datatype:
# - {name: x, unit: lambda/D, datatype: float64}
# - {name: y, unit: normI, datatype: float64}
# meta: !!omap
# - {reference: S5 MS1b}
# - {url: 'https://exoplanets.nasa.gov/internal_resources/1211'}
# - {pupil: clear}
# - {color: purple}
# - {ls: '-'}
# - {bp_pct: 10}
# - {coronagraph: starshade}
# - {wl: 681}
# - {testbed: Princeton testbed 25mm starshade}
# - {courtesy: Stuart Shaklan}
# schema: astropy-2.0
x y
1.6012 2.5493e-10
1.7791 1.5908e-10
1.957 8.513e-11
2.135 5.009e-11
2.3129 3.742e-11
2.4908 3.671e-11
2.6687 3.502e-11
2.8466 2.864e-11
3.0245 2.121e-11
3.2024 1.748e-11
3.3803 1.716e-11
3.5583 1.838e-11
3.7362 1.842e-11
3.9141 1.621e-11
4.092 1.268e-11
4.2699 9.73e-12
4.4478 7.9e-12
4.6257 7.08e-12
4.8037 5.96e-12
4.9816 4.5e-12
5.1595 3.11e-12
5.3374 2.26e-12
5.5153 2.09e-12
5.6932 2.25e-12
5.8711 2.35e-12
6.049 2.1e-12
6.227 1.68e-12
6.4049 1.3e-12
6.5828 1.22e-12
6.7607 1.33e-12
6.9386 1.39e-12
7.1165 1.3e-12
